,word,freq
678,trumpnã,21
679,daily,20
680,affect,20
681,greenpeace,20
682,everybody,20
683,u1ubqxlmrf,20
684,nodapl,20
685,happened,20
686,cool,20
687,racism,20
688,forward,20
689,watching,20
690,happy,20
691,sun,20
692,young,20
693,adaptation,20
694,healthcare,20
695,reading,20
696,local,20
697,animals,20
698,movie,20
699,catastrophe,20
700,waste,20
701,voters,20
702,temperature,20
703,despite,20
704,co2,20
705,channel,20
706,finally,20
707,fear,20
708,explain,20
709,unep,20
710,absolutely,20
711,prisonplanet,20
712,seen,20
713,gun,20
714,heard,20
715,idea,20
716,north,20
717,fix,20
718,marks,20
719,mid,20
720,steve,20
721,names,20
722,pakusalumni,20
723,rex,20
724,rise,19
725,heat,19
726,halloween,19
727,glad,19
728,wake,19
729,ignoring,19
730,australia,19
731,starts,19
732,reasons,19
733,90,19
734,mentions,19
735,trees,19
736,lives,19
737,meeting,19
738,coã,19
739,officially,19
740,longer,19
741,increase,19
742,fucked,19
743,university,19
744,trumps,19
745,youth,19
746,physics,19
747,beat,19
748,woman,19
749,ericholthaus,19
750,vice,19
751,federal,19
752,funding,19
753,fail,19
754,irony,19
755,doesnt,19
756,globalwarming,19
757,creationist,19
758,hã,18
759,happens,18
760,check,18
761,wanna,18
762,drjillstein,18
763,di,18
764,12,18
765,linked,18
766,crucial,18
767,damn,18
768,climatereality,18
769,proves,18
770,raise,18
771,problems,18
772,soon,18
773,continue,18
774,position,18
775,used,18
776,answer,18
777,india,18
778,facing,18
779,washingtonpost,18
780,icebergs,18
781,bringing,18
782,bear,18
783,challenges,18
784,wiã,18
785,helping,18
786,leadership,18
787,activity,18
788,destroying,18
789,push,18
790,gravity,18
791,ignored,18
792,run,18
793,hottest,18
794,including,18
795,bunch,18
796,parks,18
797,myron,18
798,cabinet,18
799,xp8y6esmyx,18
800,bannon,18
801,nyt,18
802,january,18
803,theã,17
804,goes,17
805,doomed,17
806,gas,17
807,plant,17
808,terrorism,17
809,questions,17
810,reef,17
811,usa,17
812,tomorrow,17
813,1st,17
814,email,17
815,knew,17
816,terms,17
817,result,17
818,campaign,17
819,2008,17
820,dealing,17
821,democrats,17
822,senate,17
823,lack,17
824,disappear,17
825,ban,17
826,justice,17
827,republican,17
828,completely,17
829,60,17
830,discuss,17
831,refuse,17
832,laws,17
833,22,17
834,voxdotcom,17
835,anymore,17
836,protection,17
837,parts,17
838,mass,17
839,nytimes,17
840,picks,17
841,poverty,16
842,eating,16
843,yr,16
844,rickygervais,16
845,addressing,16
846,debates,16
847,50,16
848,main,16
849,vulnerable,16
850,international,16
851,terrifying,16
852,wish,16
853,70,16
854,wasn,16
855,okay,16
856,dude,16
857,building,16
858,contribute,16
859,c0nvey,16
860,men,16
861,apparently,16
862,twitter,16
863,explore,16
864,bs,16
865,play,16
866,given,16
867,took,16
868,greatest,16
869,presidential,16
870,info,16
871,jay_zimmer,16
872,8zyozk4kfr,16
873,dr,16
874,hands,16
875,moon,16
876,went,16
877,risks,16
878,helped,16
879,list,16
880,reject,16
881,night,16
882,priority,16
883,calling,16
884,stakes,16
885,times,16
886,talks,16
887,dont,16
888,melt,16
889,inaction,16
890,97,16
891,approach,16
892,urgency,16
893,ya,16
894,filled,16
895,pages,16
896,manhattan,16
897,snowing,16
898,bet,16
899,beef,15
900,industry,15
901,flat,15
902,geographic,15
903,mashable,15
904,killing,15
905,truly,15
906,adapt,15
907,current,15
908,jackthelad1947,15
909,office,15
910,puts,15
911,court,15
912,losing,15
913,putin,15
914,ericboehlert,15
915,covers,15
916,farmers,15
917,40,15
918,temperatures,15
919,reports,15
920,sexist,15
921,episode,15
922,changing,15
923,excellent,15
924,eyes,15
925,inequality,15
926,honestly,15
927,fracking,15
928,voice,15
929,especially,15
930,uwm,15
931,words,15
932,rich,15
933,pence,15
934,fraud,15
935,wef,15
936,family,15
937,takes,15
938,bernie,15
939,happen,15
940,malcolm,15
941,skeptics,15
942,breathe,15
943,washed,15
944,death,15
945,stopping,15
946,pres,15
947,cnni,15
948,threaten,15
949,petition,15
950,starting,15
951,conservative,15
952,â¹â,15
953,technology,15
954,jaredwyand,15
955,turnbull,15
956,grandchilã,15
957,countermoonbat,15
958,oxford,15
959,elitists,15
960,december,15
961,15,14
962,watched,14
963,amazing,14
964,affects,14
965,tells,14
966,envdefensefund,14
967,unless,14
968,millennials,14
969,zero,14
970,enters,14
971,disgusting,14
972,isis,14
973,world_wildlife,14
974,forests,14
975,convince,14
976,live,14
977,sexual,14
978,series,14
979,met,14
980,supposed,14
981,ëœï,14
982,lying,14
983,paying,14
984,mitigation,14
985,threats,14
986,images,14
987,dying,14
988,shorts,14
989,changed,14
990,speak,14
991,ourã,14
992,lose,14
993,congress,14
994,ft,14
995,speech,14
996,20,14
997,dumb,14
998,add,14
999,developed,14
1000,beã,14
1001,photo,14
1002,sierraclub,14
1003,refuses,14
1004,game,14
1005,idiot,14
1006,definitely,14
1007,forget,14
1008,living,14
1009,deleted,14
1010,contributing,14
1011,limit,14
1012,enjoy,14
1013,models,14
1014,vp,14
1015,consensus,14
1016,corrupt,14
1017,morocco,14
1018,normal,14
1019,john,14
1020,wonder,14
1021,tweeting,14
1022,jfdã,14
1023,joke,14
1024,kelkulus,14
1025,trial,14
1026,gender,14
1027,signs,14
1028,killer,14
1029,9c,14
1030,yrs,14
1031,reã,14
1032,pretending,14
1033,burning,14
1034,jedrlee,14
1035,reducing,14
1036,ajenglish,14
1037,exxonmobil,14
1038,ground,14
1039,invent,14
1040,fakeã,14
1041,removed,14
1042,surprise,13
1043,dad,13
1044,access,13
1045,pipeline,13
1046,wanted,13
1047,awareness,13
1048,weapons,13
1049,mitchellvii,13
1050,idiots,13
1051,paper,13
1052,santa,13
1053,mitigate,13
1054,piece,13
1055,cable,13
1056,create,13
1057,massive,13
1058,understands,13
1059,devastating,13
1060,running,13
1061,th,13
1062,worth,13
1063,rabihalameddine,13
1064,pls,13
1065,abt,13
1066,wearing,13
1067,argue,13
1068,argument,13
1069,16,13
1070,mishacollins,13
1071,payments,13
1072,fun,13
1073,offers,13
1074,dept,13
1075,school,13
1076,basically,13
1077,sustainability,13
1078,possible,13
1079,stories,13
1080,committee,13
1081,reverse,13
1082,refugees,13
1083,consequences,13
1084,denied,13
1085,number,13
1086,senator,13
1087,respect,13
1088,lgbtq,13
1089,sounds,13
1090,cop22ã,13
1091,past,13
1092,wtf,13
1093,welcome,13
1094,patagonia,13
1095,labor,13
1096,accelerating,13
1097,aiannucci,13
1098,los,13
1099,lisabloom,13
1100,plants,13
1101,prove,13
1102,scheme,13
1103,2009,13
1104,irresponsible,13
1105,falsely,13
1106,vital,12
1107,places,12
1108,web,12
1109,miss,12
1110,desert,12
1111,october,12
1112,funny,12
1113,alarming,12
1114,minute,12
1115,scared,12
1116,smh,12
1117,showing,12
1118,google,12
1119,em,12
1120,dakota,12
1121,globalgoals,12
1122,weã,12
1123,realize,12
1124,perfect,12
1125,special,12
1126,military,12
1127,fall,12
1128,doubt,12
1129,york,12
1130,ready,12
1131,million,12
1132,communities,12
1133,telling,12
1134,nov,12
1135,shouldn,12
1136,thoughts,12
1137,sit,12
1138,peace,12
1139,based,12
1140,pledge,12
1141,prof,12
1142,society,12
1143,site,12
1144,antarctica,12
1145,debt,12
1146,lies,12
1147,theyre,12
